horizontal 4
vertical 15
length 58
loops 1
framedelay 0 60
framedelay 1 150
framedelay 2 4
framedelay 3 4
framedelay 4 99
framedelay 5 1
framedelay 6 1
framedelay 7 1
framedelay 8 1
framedelay 9 1
framedelay 10 1
framedelay 11 1
framedelay 12 30
framedelay 13 1
framedelay 14 1
framedelay 15 1
framedelay 16 1
framedelay 17 1
framedelay 18 1
framedelay 19 1
framedelay 20 1
framedelay 21 1
framedelay 22 1
framedelay 23 1
framedelay 24 1
framedelay 25 60
framedelay 26 1
framedelay 27 1
framedelay 28 1
framedelay 29 1
framedelay 30 1
framedelay 31 1
framedelay 32 1
framedelay 33 19
framedelay 34 1
framedelay 35 1
framedelay 36 1
framedelay 37 1
framedelay 38 1
framedelay 39 1
framedelay 40 1
framedelay 41 1
framedelay 42 1
framedelay 43 1
framedelay 44 1
framedelay 45 49
framedelay 46 1
framedelay 47 1
framedelay 48 1
framedelay 49 1
framedelay 50 1
framedelay 51 1
framedelay 52 1
framedelay 53 1
framedelay 54 1
framedelay 55 1
framedelay 56 1
framedelay 57 1
